,word,count,cat,variant
0,spokesman,18072, man,spokesman
1,congressman,1702, man,congressman
2,businessman,1588, man,businessman
3,policeman,1155, man,policeman
4,freshman,412, man,freshman
5,fisherman,376, man,fisherman
6,cameraman,375, man,cameraman
7,statesman,293, man,statesman
8,defenseman,233, man,defenseman
9,madman,183, man,madman
10,frontman,178, man,frontman
11,fireman,131, man,fireman
12,postman,127, man,postman
13,baseman,124, man,baseman
14,strongman,124, man,strongman
15,foreman,121, man,foreman
16,craftsman,111, man,craftsman
17,ombudsman,109, man,ombudsman
18,hitman,107, man,hitman
19,superman,94, man,superman
20,caveman,89, man,caveman
21,batsman,85, man,batsman
22,lineman,74, man,lineman
23,workman,73, man,workman
24,barman,70, man,barman
25,showman,69, man,showman
26,newsman,68, man,newsman
27,pitchman,67, man,pitchman
28,serviceman,67, man,serviceman
29,defenceman,61, man,defenceman
30,snowman,60, man,snowman
31,watchman,60, man,watchman
32,marksman,58, man,marksman
33,sportsman,58, man,sportsman
34,hangman,56, man,hangman
35,weatherman,55, man,weatherman
36,mailman,52, man,mailman
37,taxman,47, man,taxman
38,tribesman,47, man,tribesman
39,wingman,46, man,wingman
40,batman,45, man,batman
41,seaman,43, man,seaman
42,anchorman,39, man,anchorman
43,conman,37, man,conman
44,assemblyman,36, man,assemblyman
45,draftsman,35, man,draftsman
46,crewman,35, man,crewman
47,freeman,32, man,freeman
48,journeyman,30, man,journeyman
49,gentlemen,29, man,gentlemen
50,militiaman,27, man,militiaman
51,horseman,26, man,horseman
52,headman,25, man,headman
53,motorman,24, man,motorman
54,linesman,23, man,linesman
55,swordsman,23, man,swordsman
56,bondsman,22, man,bondsman
57,lawman,21, man,lawman
58,warehouseman,20, man,warehouseman
59,midshipman,19, man,midshipman
60,yeoman,19, man,yeoman
61,jokerman,18, man,jokerman
62,spaceman,18, man,spaceman
63,workingman,17, man,workingman
64,kinsman,17, man,kinsman
65,corpsman,15, man,corpsman
66,bluesman,15, man,bluesman
67,woodsman,15, man,woodsman
68,newspaperman,14, man,newspaperman
69,guardsman,14, man,guardsman
70,frontiersman,13, man,frontiersman
71,boatman,13, man,boatman
72,triggerman,13, man,triggerman
73,iceman,12, man,iceman
74,policemen,12, man,policemen
75,dairyman,12, man,dairyman
76,freedman,12, man,freedman
77,stallman,11, man,stallman
78,stockman,11, man,stockman
79,longshoreman,11, man,longshoreman
80,bagman,11, man,bagman
81,swingman,11, man,swingman
82,flagman,10, man,flagman
83,stickman,10, man,stickman
84,walkman,10, man,walkman
85,coachman,10, man,coachman
86,netman,10, man,netman
87,counterman,10, man,counterman
89,ironman,9, man,ironman
90,churchman,9, man,churchman
91,soundman,9, man,soundman
92,bushman,8, man,bushman
93,boogieman,8, man,boogieman
94,sheepman,8, man,sheepman
95,bondman,8, man,bondman
96,radioman,8, man,radioman
97,deadman,8, man,deadman
98,footman,8, man,footman
99,sandman,8, man,sandman
101,firemen,7, man,firemen
102,frogman,7, man,frogman
103,axeman,7, man,axeman
104,no-man,7, man,no-man
105,spiderman,7, man,spiderman
106,selectman,7, man,selectman
107,seedsman,6, man,seedsman
108,cartman,6, man,cartman
109,ploughman,6, man,ploughman
110,transman,6, man,transman
111,lumberman,6, man,lumberman
112,connman,6, man,connman
113,waxman,6, man,waxman
114,plantman,6, man,plantman
115,con-man,6, man,con-man
116,bowman,6, man,bowman
117,swagman,5, man,swagman
118,groomsman,5, man,groomsman
119,merchantman,5, man,merchantman
120,landsman,5, man,landsman
121,groundsman,5, man,groundsman
122,placeman,5, man,placeman
123,bellman,5, man,bellman
124,adman,5, man,adman
125,wheelman,4, man,wheelman
126,draughtsman,4, man,draughtsman
127,lifeboatman,4, man,lifeboatman
129,wildman,4, man,wildman
130,carman,4, man,carman
131,clansman,4, man,clansman
132,lobsterman,4, man,lobsterman
133,headsman,4, man,headsman
134,whiteman,4, man,whiteman
135,tillman,3, man,tillman
136,microman,3, man,microman
138,targetman,3, man,targetman
139,pointman,3, man,pointman
140,cavalryman,3, man,cavalryman
141,oarsman,3, man,oarsman
142,oysterman,3, man,oysterman
143,glovesman,3, man,glovesman
144,swordman,3, man,swordman
145,storeman,3, man,storeman
147,sideman,3, man,sideman
148,centerman,3, man,centerman
149,busman,3, man,busman
150,pedoman,3, man,pedoman
151,huntsman,3, man,huntsman
152,lensman,3, man,lensman
153,plowman,3, man,plowman
154,servicemen,3, man,servicemen
155,woodman,2, man,woodman
158,hellman,2, man,hellman
159,underclassman,2, man,underclassman
160,ragman,2, man,ragman
162,slaughterman,2, man,slaughterman
163,packman,2, man,packman
164,packetman,2, man,packetman
165,binman,2, man,binman
166,fishermen,2, man,fishermen
168,nightman,2, man,nightman
171,pieman,2, man,pieman
172,barrowman,2, man,barrowman
173,sugarman,2, man,sugarman
174,topman,2, man,topman
175,switchman,2, man,switchman
176,spearfisherman,2, man,spearfisherman
177,assman,2, man,assman
178,rasterman,2, man,rasterman
179,ratman,2, man,ratman
181,classman,2, man,classman
182,minuteman,2, man,minuteman
183,cornishman,2, man,cornishman
185,deskman,2, man,deskman
186,cornerman,2, man,cornerman
188,sportsmen,2, man,sportsmen
190,ultraman,2, man,ultraman
191,gershman,2, man,gershman
192,pressman,2, man,pressman
193,seeman,2, man,seeman
194,handicraftsman,1, man,handicraftsman
195,liftman,1, man,liftman
196,he-man,1, man,he-man
197,cyberman,1, man,cyberman
198,macro-man,1, man,macro-man
199,rubberman,1, man,rubberman
201,she-man,1, man,she-man
202,washerman,1, man,washerman
203,cameramen,1, man,cameramen
204,starman,1, man,starman
205,gateman,1, man,gateman
208,artilleryman,1, man,artilleryman
209,cutman,1, man,cutman
210,nightwatchman,1, man,nightwatchman
211,spokesmen,1, man,spokesmen
212,townsman,1, man,townsman
214,pointsman,1, man,pointsman
215,spearman,1, man,spearman
216,expressman,1, man,expressman
217,gleeman,1, man,gleeman
218,tribesmen,1, man,tribesmen
219,pig-man,1, man,pig man
220,spoonman,1, man,spoonman
222,prman,1, man,prman
223,chessmen,1, man,chessmen
228,dutchman,1, man,dutchman
230,rainman,1, man,rainman
231,crossbowman,1, man,crossbowman
232,ambulanceman,1, man,ambulanceman
234,overman,1, man,overman
235,pcman,1, man,pcman
237,bargeman,1, man,bargeman
238,almsman,1, man,almsman
239,cabman,1, man,cabman
240,boardman,1, man,boardman
242,centreman,1, man,centreman
243,sub-man,1, man,sub-man
244,gearman,1, man,gearman
245,discman,1, man,discman
246,seamen,1, man,seamen
248,longshoremen,1, man,longshoremen
250,rockman,1, man,rockman
251,portman,1, man,portman
252,frenchman,1, man,frenchman
253,defensemen,1, man,defensemen
254,snowmen,1, man,snowmen
255,defencemen,1, man,defencemen
256,cocksman,1, man,cocksman
257,upperclassman,1, man,upperclassman
258,winchman,1, man,winchman
260,merman,1, man,merman
261,selectmen,1, man,selectmen
264,birdman,1, man,birdman
265,capman,1, man,capman
266,bunnyman,1, man,bunnyman
267,backwoodsman,1, man,backwoodsman
268,bestman,1, man,bestman
269,garageman,1, man,garageman
270,powerman,1, man,powerman
271,spokeswoman,5731, woman,spokeswoman
272,congresswoman,163, woman,congresswoman
273,businesswoman,101, woman,businesswoman
274,policewoman,46, woman,policewoman
275,anchorwoman,19, woman,anchorwoman
276,forewoman,15, woman,forewoman
277,gentlewoman,7, woman,gentlewoman
278,madwoman,6, woman,madwoman
279,spokewoman,6, woman,spokewoman
280,frontierswoman,6, woman,frontierswoman
281,charwoman,6, woman,charwoman
282,bondwoman,6, woman,bondwoman
283,everywoman,6, woman,everywoman
284,noblewoman,6, woman,noblewoman
285,fisherwoman,5, woman,fisherwoman
286,transwoman,4, woman,transwoman
287,newswoman,4, woman,newswoman
288,frontwoman,3, woman,frontwoman
289,cavewoman,3, woman,cavewoman
290,servicewoman,3, woman,servicewoman
291,bogeywoman,3, woman,bogeywoman
292,stateswoman,2, woman,stateswoman
295,man-woman,2, woman,manwoman
296,craftswoman,2, woman,craftswoman
297,washerwoman,2, woman,washerwoman
298,policewomen,2, woman,policewomen
301,hitwoman,2, woman,hitwoman
302,batwoman,1, woman,batwoman
303,markswoman,1, woman,markswoman
304,swordswoman,1, woman,swordswoman
306,sportswoman,1, woman,sportswoman
307,ambulancewoman,1, woman,ambulancewoman
308,catwoman,1, woman,catwoman
309,anti-woman,1, woman,antiwoman
310,selectwoman,1, woman,selectwoman
311,tribeswoman,1, woman,tribeswoman
312,horsewoman,1, woman,horsewoman
313,cowboy,523, boy,cowboy
314,playboy,163, boy,playboy
315,fanboy,159, boy,fanboy
316,tomboy,55, boy,tomboy
317,busboy,37, boy,busboy
318,plowboy,31, boy,plowboy
319,paperboy,28, boy,paperboy
320,homeboy,26, boy,homeboy
321,cowboys,23, boy,cowboys
322,fanboys,22, boy,fanboys
324,doughboy,6, boy,doughboy
326,playboys,5, boy,playboys
327,sackboy,5, boy,sackboy
328,ballboy,5, boy,ballboy
329,batboy,5, boy,batboy
330,houseboy,5, boy,houseboy
331,ladyboy,4, boy,ladyboy
332,farmboy,4, boy,farmboy
333,fireboy,3, boy,fireboy
334,newsboy,3, boy,newsboy
335,hellboy,3, boy,hellboy
337,bellboy,3, boy,bellboy
339,man-boy,2, boy,manboy
343,paperboys,2, boy,paperboys
344,fratboy,2, boy,fratboy
346,busboys,2, boy,busboys
347,fisherboy,1, boy,fisherboy
349,nancyboy,1, boy,nancyboy
352,transboy,1, boy,transboy
353,headboy,1, boy,headboy
354,doughboys,1, boy,doughboys
356,whiteboy,1, boy,whiteboy
359,femboy,1, boy,femboy
360,toyboy,1, boy,toyboy
363,copyboy,1, boy,copyboy
365,dog-boy,1, boy,dog boy
369,tomboys,1, boy,tomboys
370,manboy,1, boy,manboy
372,callboy,1, boy,callboy
373,poboy,1, boy,poboy
374,flyboys,1, boy,flyboys
375,showgirl,18, girl,showgirl
376,fangirl,14, girl,fangirl
377,cowgirl,13, girl,cowgirl
379,supergirl,7, girl,supergirl
383,batgirl,3, girl,batgirl
384,showgirls,3, girl,showgirls
390,dreamgirl,2, girl,dreamgirl
391,bargirls,2, girl,bargirls
392,bargirl,2, girl,bargirl
393,babygirl,1, girl,babygirl
396,tomgirl,1, girl,tomgirl
398,transgirl,1, girl,transgirl
402,callgirl,1, girl,callgirl
403,playgirl,1, girl,playgirl
404,fangirls,1, girl,fangirls
406,tubgirl,1, girl,tubgirl
408,snowgirl,1, girl,snowgirl
409,ex-girl,1, girl,ex-girl
410,papergirl,1, girl,papergirl
411,cavegirl,1, girl,cavegirl
413,ballgirl,1, girl,ballgirl
414,farmgirl,1, girl,farmgirl
415,cowgirls,1, girl,cowgirls
416,slavegirl,1, girl,slavegirl
